,locus_tag,old_locus_tag,name,description,type,length
lcl|NC_002947.4_gene_4462,PP_RS22145,PP_4265,fnrA,Crp/Fnr family transcriptional regulator FnrA,CDS,735
lcl|NC_002947.4_gene_4463,PP_RS22150,PP_4266,,adenine phosphoribosyltransferase,CDS,549
lcl|NC_002947.4_gene_4464,PP_RS22155,PP_4267,recR,recombination mediator RecR,CDS,603
lcl|NC_002947.4_gene_4465,PP_RS22160,PP_4268,,YbaB/EbfC family nucleoid-associated protein,CDS,336
lcl|NC_002947.4_gene_4466,PP_RS22165,PP_4269,dnaX,DNA polymerase III subunit gamma/tau,CDS,2076
lcl|NC_002947.4_gene_4467,PP_RS22170,PP_4270,,ABC transporter substrate-binding protein,CDS,807
lcl|NC_002947.4_gene_4468,PP_RS22175,PP_5670,,hypothetical protein,CDS,276
lcl|NC_002947.4_gene_4469,PP_RS22180,PP_5671,,hypothetical protein,CDS,195
lcl|NC_002947.4_gene_4470,PP_RS22185,PP_4271,,hypothetical protein,CDS,180
lcl|NC_002947.4_gene_4471,PP_RS22190,PP_4272,,DUF2938 domain-containing protein,CDS,489
lcl|NC_002947.4_gene_4472,PP_RS22195,PP_4273,,helix-turn-helix domain-containing protein,CDS,420
lcl|NC_002947.4_gene_4473,PP_RS22200,PP_mr50,ffs,signal recognition particle sRNA small type,ncRNA,97
lcl|NC_002947.4_gene_4474,PP_RS22205,PP_4274,ligA,NAD-dependent DNA ligase LigA,CDS,2331
lcl|NC_002947.4_gene_4475,PP_RS22210,PP_4275,zipA,cell division protein ZipA,CDS,894
lcl|NC_002947.4_gene_4476,PP_RS22215,PP_4276,smc,chromosome segregation protein SMC,CDS,3489
lcl|NC_002947.4_gene_4477,PP_RS22220,PP_4277,,GntR family transcriptional regulator,CDS,660
lcl|NC_002947.4_gene_4478,PP_RS22225,PP_4278,xdhA,xanthine dehydrogenase small subunit,CDS,1455
lcl|NC_002947.4_gene_4479,PP_RS22230,PP_4279,xdhB,xanthine dehydrogenase molybdopterin binding subunit,CDS,2400
lcl|NC_002947.4_gene_4480,PP_RS22235,PP_4280,xdhC,xanthine dehydrogenase accessory protein XdhC,CDS,846
lcl|NC_002947.4_gene_4481,PP_RS22240,PP_4281,guaD,guanine deaminase,CDS,1305
lcl|NC_002947.4_gene_4482,PP_RS22245,PP_4282,aqpZ,aquaporin Z,CDS,699
lcl|NC_002947.4_gene_4483,PP_RS22250,PP_4283,,GntR family transcriptional regulator,CDS,756
lcl|NC_002947.4_gene_4484,PP_RS22255,PP_4284,,NCS2 family permease,CDS,1320
lcl|NC_002947.4_gene_4485,PP_RS22260,PP_4285,uraH,hydroxyisourate hydrolase,CDS,354
lcl|NC_002947.4_gene_4486,PP_RS22265,PP_4286,puuE,allantoinase PuuE,CDS,927
lcl|NC_002947.4_gene_4487,PP_RS22270,PP_4287,uraD,2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase,CDS,516
lcl|NC_002947.4_gene_4488,PP_RS22275,PP_4288,,ureidoglycolate lyase,CDS,504
lcl|NC_002947.4_gene_4489,PP_RS22280,PP_4289,,urate hydroxylase PuuD,CDS,1341
lcl|NC_002947.4_gene_4490,PP_RS22285,PP_4290,,nucleobase:cation symporter-2 family protein,CDS,1356
lcl|NC_002947.4_gene_4491,PP_RS22290,PP_4291,,outer membrane protein OmpK,CDS,786
lcl|NC_002947.4_gene_4492,PP_RS22295,PP_4293,,outer membrane protein OmpK,CDS,783
lcl|NC_002947.4_gene_4493,PP_RS22300,PP_4294,,DUF808 domain-containing protein,CDS,915
lcl|NC_002947.4_gene_4494,PP_RS22305,PP_4295,,TetR/AcrR family transcriptional regulator,CDS,612
lcl|NC_002947.4_gene_4495,PP_RS22310,PP_4296,,heme-binding protein,CDS,441
lcl|NC_002947.4_gene_4496,PP_RS22315,PP_4297,gcl,glyoxylate carboligase,CDS,1776
lcl|NC_002947.4_gene_4497,PP_RS22320,PP_4298,hyi,hydroxypyruvate isomerase,CDS,783
lcl|NC_002947.4_gene_4498,PP_RS22325,PP_4299,,2-hydroxy-3-oxopropionate reductase,CDS,894
lcl|NC_002947.4_gene_4499,PP_RS22330,PP_4300,,glycerate kinase,CDS,1275
lcl|NC_002947.4_gene_4500,PP_RS22335,PP_4301,pyk,pyruvate kinase,CDS,1416
lcl|NC_002947.4_gene_4501,PP_RS22340,PP_4302,,urea transporter,CDS,876
lcl|NC_002947.4_gene_4502,PP_RS22345,PP_4303,,RHS repeat-associated core domain-containing protein,CDS,741
lcl|NC_002947.4_gene_4503,PP_RS22350,PP_4304,,ion transporter,CDS,822
lcl|NC_002947.4_gene_4504,PP_RS22355,PP_4305,,sulfate ABC transporter substrate-binding protein,CDS,999
lcl|NC_002947.4_gene_4505,PP_RS22360,PP_4306,,class I SAM-dependent methyltransferase,CDS,957
lcl|NC_002947.4_gene_4506,PP_RS22365,PP_4307,,DMT family transporter,CDS,924
lcl|NC_002947.4_gene_4507,PP_RS22370,PP_4308,,Lrp/AsnC family transcriptional regulator,CDS,438
lcl|NC_002947.4_gene_4508,PP_RS22375,PP_4309,,NCS1 family nucleobase:cation symporter-1,CDS,1533
lcl|NC_002947.4_gene_4509,PP_RS22380,PP_4310,,aspartate/glutamate racemase family protein,CDS,729
lcl|NC_002947.4_gene_4510,PP_RS22385,PP_4311,,D-amino acid dehydrogenase,CDS,1194
lcl|NC_002947.4_gene_4511,PP_RS22390,PP_4312,,histidine phosphatase family protein,CDS,663
lcl|NC_002947.4_gene_4512,PP_RS22395,PP_4313,,FKBP-type peptidyl-prolyl cis-trans isomerase,CDS,339
lcl|NC_002947.4_gene_4513,PP_RS22400,PP_4314,,GFA family protein,CDS,408
lcl|NC_002947.4_gene_4514,PP_RS22405,PP_4315,,PhzF family phenazine biosynthesis protein,CDS,789
lcl|NC_002947.4_gene_4515,PP_RS22410,PP_4316,,2-hydroxyacid dehydrogenase,CDS,939
lcl|NC_002947.4_gene_4516,PP_RS22415,PP_4317,,hypothetical protein,CDS,198
lcl|NC_002947.4_gene_4517,PP_RS22420,PP_4318,,IS4-like element ISPpu8 family transposase,CDS,1302
lcl|NC_002947.4_gene_4518,PP_RS22425,PP_4319,,hypothetical protein,CDS,417
lcl|NC_002947.4_gene_4519,PP_RS22430,PP_4320,ccmI,c-type cytochrome biogenesis protein CcmI,CDS,1197
lcl|NC_002947.4_gene_4520,PP_RS22435,PP_5748,,cytochrome c-type biogenesis protein,CDS,477
lcl|NC_002947.4_gene_4521,PP_RS22440,PP_4321,,DsbE family thiol:disulfide interchange protein,CDS,537
lcl|NC_002947.4_gene_4522,PP_RS22445,PP_4322,,heme lyase CcmF/NrfE family subunit,CDS,1989
lcl|NC_002947.4_gene_4523,PP_RS22450,PP_4323,ccmE,cytochrome c maturation protein CcmE,CDS,456
lcl|NC_002947.4_gene_4524,PP_RS22455,PP_4324,ccmD,heme exporter protein CcmD,CDS,177
lcl|NC_002947.4_gene_4525,PP_RS22460,PP_4325,,heme ABC transporter permease,CDS,768
lcl|NC_002947.4_gene_4526,PP_RS22465,PP_4326,ccmB,heme exporter protein CcmB,CDS,669
lcl|NC_002947.4_gene_4527,PP_RS22470,PP_4327,ccmA,cytochrome c biogenesis heme-transporting ATPase CcmA,CDS,633
lcl|NC_002947.4_gene_4528,PP_RS22475,PP_4328,,flagellar hook-length control protein FliK,CDS,1557
lcl|NC_002947.4_gene_4529,PP_RS22480,PP_4329,,EscU/YscU/HrcU family type III secretion system export apparatus switch protein,CDS,339
lcl|NC_002947.4_gene_4530,PP_RS22485,PP_4330,,dermonecrotic toxin domain-containing protein,CDS,2712
lcl|NC_002947.4_gene_4531,PP_RS22490,PP_4331,,DUF2802 domain-containing protein,CDS,396
lcl|NC_002947.4_gene_4532,PP_RS22495,PP_4332,,chemotaxis protein CheW,CDS,480
lcl|NC_002947.4_gene_4533,PP_RS22500,PP_4333,,CheW domain-containing protein,CDS,897
lcl|NC_002947.4_gene_4534,PP_RS22505,PP_4334,,ParA family protein,CDS,789
lcl|NC_002947.4_gene_4535,PP_RS22510,PP_4335,motD,flagellar motor protein MotD,CDS,858
lcl|NC_002947.4_gene_4536,PP_RS22515,PP_4336,,flagellar motor protein,CDS,741
lcl|NC_002947.4_gene_4537,PP_RS22520,PP_4337,,chemotaxis response regulator protein-glutamate methylesterase,CDS,1113
lcl|NC_002947.4_gene_4538,PP_RS22525,PP_4338,,chemotaxis protein CheA,CDS,2244
lcl|NC_002947.4_gene_4539,PP_RS22530,PP_4339,,protein phosphatase CheZ,CDS,789
lcl|NC_002947.4_gene_4540,PP_RS22535,PP_4340,,chemotaxis response regulator CheY,CDS,375
lcl|NC_002947.4_gene_4541,PP_RS22540,PP_4341,fliA,RNA polymerase sigma factor FliA,CDS,741
lcl|NC_002947.4_gene_4542,PP_RS22545,PP_4342,fleN,flagellar synthesis regulator FleN,CDS,834
lcl|NC_002947.4_gene_4543,PP_RS22550,PP_4343,flhF,flagellar biosynthesis protein FlhF,CDS,1308
lcl|NC_002947.4_gene_4544,PP_RS22555,PP_4344,flhA,flagellar biosynthesis protein FlhA,CDS,2130
lcl|NC_002947.4_gene_4545,PP_RS22560,PP_4345,,GntR family transcriptional regulator,CDS,696
lcl|NC_002947.4_gene_4546,PP_RS22565,PP_4346,,D-alanine--D-alanine ligase family protein,CDS,1059
lcl|NC_002947.4_gene_4547,PP_RS28685,,,hypothetical protein,CDS,450
lcl|NC_002947.4_gene_4548,PP_RS22570,PP_4347,,B12-binding domain/radical SAM domain-containing protein,CDS,1248
lcl|NC_002947.4_gene_4549,PP_RS22575,PP_4348,,PLP-dependent transferase,CDS,1167
lcl|NC_002947.4_gene_4550,PP_RS22580,PP_4349,,LPD16 domain-containing protein,CDS,879
lcl|NC_002947.4_gene_4551,PP_RS22585,PP_4350,,cysteine desulfurase family protein,CDS,1164
lcl|NC_002947.4_gene_4552,PP_RS22590,PP_5673,,D-alanine--D-alanine ligase,CDS,915
lcl|NC_002947.4_gene_4553,PP_RS22595,PP_4351,,FHIPEP family type III secretion protein,CDS,237
lcl|NC_002947.4_gene_4554,PP_RS22600,PP_4352,flhB,flagellar biosynthesis protein FlhB,CDS,1143
lcl|NC_002947.4_gene_4555,PP_RS22605,PP_4353,fliR,flagellar biosynthetic protein FliR,CDS,777
lcl|NC_002947.4_gene_4556,PP_RS22610,PP_4354,fliQ,flagellar biosynthesis protein FliQ,CDS,270
lcl|NC_002947.4_gene_4557,PP_RS22615,PP_4355,fliP,flagellar type III secretion system pore protein FliP,CDS,756
lcl|NC_002947.4_gene_4558,PP_RS22620,PP_4356,fliO,flagellar biosynthetic protein FliO,CDS,435
lcl|NC_002947.4_gene_4559,PP_RS22625,PP_4357,fliN,flagellar motor switch protein FliN,CDS,468
lcl|NC_002947.4_gene_4560,PP_RS22630,PP_4358,fliM,flagellar motor switch protein FliM,CDS,969
lcl|NC_002947.4_gene_4561,PP_RS22635,PP_4359,fliL,flagellar basal body-associated protein FliL,CDS,498
lcl|NC_002947.4_gene_4562,PP_RS22640,PP_4361,,flagellar hook-length control protein FliK,CDS,1266
lcl|NC_002947.4_gene_4563,PP_RS22645,PP_4362,,Hpt domain-containing protein,CDS,348
lcl|NC_002947.4_gene_4564,PP_RS22650,PP_4363,,fused response regulator/phosphatase,CDS,1692
lcl|NC_002947.4_gene_4565,PP_RS22655,PP_4364,,STAS domain-containing protein,CDS,306
lcl|NC_002947.4_gene_4566,PP_RS22660,PP_4365,fliJ,flagellar export protein FliJ,CDS,453
lcl|NC_002947.4_gene_4567,PP_RS22665,PP_4366,fliI,flagellar protein export ATPase FliI,CDS,1356
lcl|NC_002947.4_gene_4568,PP_RS22670,PP_4367,fliH,flagellar assembly protein FliH,CDS,792
lcl|NC_002947.4_gene_4569,PP_RS22675,PP_4368,fliG,flagellar motor switch protein FliG,CDS,1020
lcl|NC_002947.4_gene_4570,PP_RS22680,PP_4369,fliF,flagellar basal-body MS-ring/collar protein FliF,CDS,1779
lcl|NC_002947.4_gene_4571,PP_RS22685,PP_4370,fliE,flagellar hook-basal body complex protein FliE,CDS,333
lcl|NC_002947.4_gene_4572,PP_RS22690,PP_4371,,sigma-54 dependent transcriptional regulator,CDS,1356
lcl|NC_002947.4_gene_4573,PP_RS22695,PP_4372,,PAS domain-containing sensor histidine kinase,CDS,1218
lcl|NC_002947.4_gene_4574,PP_RS22700,PP_4373,fleQ,transcriptional regulator FleQ,CDS,1476
lcl|NC_002947.4_gene_4575,PP_RS22705,PP_4374,,flagellar assembly protein FliT,CDS,294
lcl|NC_002947.4_gene_4576,PP_RS22710,PP_4375,fliS,flagellar export chaperone FliS,CDS,396
lcl|NC_002947.4_gene_4577,PP_RS22715,PP_4376,fliD,flagellar filament capping protein FliD,CDS,1359
lcl|NC_002947.4_gene_4578,PP_RS22720,PP_4377,,flagellar protein FlaG,CDS,345
lcl|NC_002947.4_gene_4579,PP_RS22725,PP_4378,,flagellin hook IN motif-containing protein,CDS,2064
lcl|NC_002947.4_gene_4580,PP_RS22730,PP_4379,,ketoacyl-ACP synthase III,CDS,930
lcl|NC_002947.4_gene_4581,PP_RS22735,PP_4380,,flagellar hook-associated protein 3,CDS,1566
lcl|NC_002947.4_gene_4582,PP_RS22740,PP_4381,flgK,flagellar hook-associated protein FlgK,CDS,2043
lcl|NC_002947.4_gene_4583,PP_RS22745,PP_4382,flgJ,flagellar assembly peptidoglycan hydrolase FlgJ,CDS,1155
lcl|NC_002947.4_gene_4584,PP_RS22750,PP_4383,,flagellar basal body P-ring protein FlgI,CDS,1116
lcl|NC_002947.4_gene_4585,PP_RS22755,PP_4384,flgH,flagellar basal body L-ring protein FlgH,CDS,696
lcl|NC_002947.4_gene_4586,PP_RS22760,PP_4385,flgG,flagellar basal-body rod protein FlgG,CDS,786
lcl|NC_002947.4_gene_4587,PP_RS22765,PP_4386,flgF,flagellar basal-body rod protein FlgF,CDS,741
lcl|NC_002947.4_gene_4588,PP_RS22770,PP_4387,,hypothetical protein,CDS,192
lcl|NC_002947.4_gene_4589,PP_RS22775,PP_4388,flgE,flagellar hook protein FlgE,CDS,1323
lcl|NC_002947.4_gene_4590,PP_RS22780,PP_4389,flgD,flagellar hook assembly protein FlgD,CDS,702
lcl|NC_002947.4_gene_4591,PP_RS22785,PP_4390,flgC,flagellar basal body rod protein FlgC,CDS,444
lcl|NC_002947.4_gene_4592,PP_RS22790,PP_4391,flgB,flagellar basal body rod protein FlgB,CDS,411
lcl|NC_002947.4_gene_4593,PP_RS22795,PP_4392,cheR,protein-glutamate O-methyltransferase CheR,CDS,828
lcl|NC_002947.4_gene_4594,PP_RS22800,PP_4393,,chemotaxis protein CheV,CDS,930
lcl|NC_002947.4_gene_4595,PP_RS22805,PP_4394,flgA,flagellar basal body P-ring formation chaperone FlgA,CDS,753
lcl|NC_002947.4_gene_4596,PP_RS22810,PP_4395,flgM,flagellar biosynthesis anti-sigma factor FlgM,CDS,315
lcl|NC_002947.4_gene_4597,PP_RS22815,PP_4396,,flagella synthesis protein FlgN,CDS,468
lcl|NC_002947.4_gene_4598,PP_RS22820,PP_4397,,flagellar brake protein,CDS,744
lcl|NC_002947.4_gene_4599,PP_RS22825,PP_4398,,MFS transporter,CDS,1335
lcl|NC_002947.4_gene_4600,PP_RS22830,PP_4399,,glutamine synthetase family protein,CDS,1242
lcl|NC_002947.4_gene_4601,PP_RS22835,PP_4400,bkdR,Bkd operon transcriptional regulator BkdR,CDS,486
lcl|NC_002947.4_gene_4602,PP_RS22840,PP_4401,,3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) subunit alpha,CDS,1233
lcl|NC_002947.4_gene_4603,PP_RS22845,PP_4402,,alpha-ketoacid dehydrogenase subunit beta,CDS,1059
lcl|NC_002947.4_gene_4604,PP_RS22850,PP_4403,,dihydrolipoamide acetyltransferase family protein,CDS,1272
lcl|NC_002947.4_gene_4605,PP_RS22855,PP_4404,lpdA,dihydrolipoyl dehydrogenase,CDS,1380
lcl|NC_002947.4_gene_4606,PP_RS22860,PP_4405,,diguanylate cyclase,CDS,999
lcl|NC_002947.4_gene_4607,PP_RS22865,PP_4406,,hypothetical protein,CDS,528
lcl|NC_002947.4_gene_4608,PP_RS22870,PP_4407,,amino acid permease,CDS,1383
lcl|NC_002947.4_gene_4609,PP_RS22875,PP_4408,,IS5 family transposase,CDS,856
lcl|NC_002947.4_gene_4610,PP_RS22880,PP_4409,,tyrosine-type recombinase/integrase,CDS,1431
lcl|NC_002947.4_gene_4611,PP_RS22885,PP_4410,,hypothetical protein,CDS,3300
lcl|NC_002947.4_gene_4612,PP_RS22890,PP_5674,,hypothetical protein,CDS,600
lcl|NC_002947.4_gene_4613,PP_RS22895,PP_4411,,hypothetical protein,CDS,549
lcl|NC_002947.4_gene_4614,PP_RS22900,PP_4412,,hypothetical protein,CDS,579
lcl|NC_002947.4_gene_4615,PP_RS22905,PP_4415,,tyrosine-type recombinase/integrase,CDS,1101
lcl|NC_002947.4_gene_4616,PP_RS22910,PP_5675,,hypothetical protein,CDS,225
lcl|NC_002947.4_gene_4617,PP_RS22915,PP_5676,,hypothetical protein,CDS,402
lcl|NC_002947.4_gene_4618,PP_RS22920,PP_5677,,hypothetical protein,CDS,219
lcl|NC_002947.4_gene_4619,PP_RS22925,,,hypothetical protein,CDS,141
lcl|NC_002947.4_gene_4620,PP_RS22930,PP_5678,,hypothetical protein,CDS,291
lcl|NC_002947.4_gene_4621,PP_RS22935,PP_4418,,hypothetical protein,CDS,324
lcl|NC_002947.4_gene_4622,PP_RS22940,PP_4420,,IS3 family transposase,CDS,1163
lcl|NC_002947.4_gene_4623,PP_RS22945,,,DNA polymerase V subunit UmuC,CDS,380
lcl|NC_002947.4_gene_4624,PP_RS22950,PP_4421,,aspartate aminotransferase family protein,CDS,1392
lcl|NC_002947.4_gene_4625,PP_RS22955,PP_4422,,NAD-dependent succinate-semialdehyde dehydrogenase,CDS,1473
lcl|NC_002947.4_gene_4626,PP_RS22960,PP_4423,doeB,"N(2)-acetyl-L-2,4-diaminobutanoate deacetylase DoeB",CDS,996
lcl|NC_002947.4_gene_4627,PP_RS22965,PP_4424,,Lrp/AsnC family transcriptional regulator,CDS,468
lcl|NC_002947.4_gene_4628,PP_RS22970,PP_4425,ehuA,ectoine/hydroxyectoine ABC transporter ATP-binding protein EhuA,CDS,768
lcl|NC_002947.4_gene_4629,PP_RS22975,PP_4426,ehuD,ectoine/hydroxyectoine ABC transporter permease subunit EhuD,CDS,657
lcl|NC_002947.4_gene_4630,PP_RS22980,PP_4427,ehuC,ectoine/hydroxyectoine ABC transporter permease subunit EhuC,CDS,657
lcl|NC_002947.4_gene_4631,PP_RS22985,PP_4428,ehuB,ectoine/hydroxyectoine ABC transporter substrate-binding protein EhuB,CDS,855
lcl|NC_002947.4_gene_4632,PP_RS22990,PP_4429,,PLP-dependent aminotransferase family protein,CDS,1398
lcl|NC_002947.4_gene_4633,PP_RS22995,PP_4430,eutB,hydroxyectoine utilization dehydratase EutB,CDS,993
lcl|NC_002947.4_gene_4634,PP_RS23000,PP_4431,eutC,ectoine utilization protein EutC,CDS,993
lcl|NC_002947.4_gene_4635,PP_RS23005,PP_4432,doeA,ectoine hydrolase DoeA,CDS,1191
lcl|NC_002947.4_gene_4636,PP_RS23010,PP_4433,,MFS transporter,CDS,1293
lcl|NC_002947.4_gene_4637,PP_RS23015,PP_4434,,D-amino acid dehydrogenase,CDS,1299
lcl|NC_002947.4_gene_4638,PP_RS23020,PP_4435,,RidA family protein,CDS,354
lcl|NC_002947.4_gene_4639,PP_RS28870,,,hypothetical protein,CDS,516
lcl|NC_002947.4_gene_4640,PP_RS28700,PP_4438,tnpB,IS66 family insertion sequence element accessory protein TnpB,CDS,336
lcl|NC_002947.4_gene_4641,PP_RS23040,PP_4439,,IS66 family transposase,CDS,1536
lcl|NC_002947.4_gene_4642,PP_RS23045,,,amidohydrolase,CDS,585
lcl|NC_002947.4_gene_4643,PP_RS23050,PP_4441,,transposase,CDS,321
lcl|NC_002947.4_gene_4644,PP_RS28705,PP_4442,tnpB,IS66 family insertion sequence element accessory protein TnpB,CDS,336
lcl|NC_002947.4_gene_4645,PP_RS23060,PP_4443,,IS66-like element ISPpu14 family transposase,CDS,1536
lcl|NC_002947.4_gene_4646,PP_RS23065,,,IS3 family transposase,CDS,869
lcl|NC_002947.4_gene_4647,PP_RS23070,PP_4446,ltrA,group II intron reverse transcriptase/maturase,CDS,1122
lcl|NC_002947.4_gene_4648,PP_RS23075,PP_5680,,XRE family transcriptional regulator,CDS,390
lcl|NC_002947.4_gene_4649,PP_RS23080,PP_4447,,DUF4297 family anti-phage-associated protein,CDS,1251
lcl|NC_002947.4_gene_4650,PP_RS23085,PP_4448,herA,anti-phage-associated helicase HerA,CDS,1764
lcl|NC_002947.4_gene_4651,PP_RS28710,PP_5681,,hypothetical protein,CDS,342
lcl|NC_002947.4_gene_4652,PP_RS23090,PP_4449,,hypothetical protein,CDS,255
lcl|NC_002947.4_gene_4653,PP_RS23095,PP_5682,,hypothetical protein,CDS,210
lcl|NC_002947.4_gene_4654,PP_RS23100,PP_4450,,histidine phosphatase family protein,CDS,627
lcl|NC_002947.4_gene_4655,PP_RS23105,PP_5683,,hypothetical protein,CDS,237
lcl|NC_002947.4_gene_4656,PP_RS23110,,,hypothetical protein,CDS,168
lcl|NC_002947.4_gene_4657,PP_RS28715,PP_5684,,hypothetical protein,CDS,219
lcl|NC_002947.4_gene_4658,PP_RS23115,PP_4451,,PIN domain-containing protein,CDS,1086
lcl|NC_002947.4_gene_4659,PP_RS23120,PP_5686,,BrnT family toxin,CDS,630
lcl|NC_002947.4_gene_4660,PP_RS23125,PP_5687,,MFS transporter,CDS,645
lcl|NC_002947.4_gene_4661,PP_RS23130,PP_4452,,NAD/NADP octopine/nopaline dehydrogenase family protein,CDS,1074
lcl|NC_002947.4_gene_4662,PP_RS23135,PP_4453,,ABC transporter ATP-binding protein,CDS,1851
lcl|NC_002947.4_gene_4663,PP_RS23140,PP_4454,,ABC transporter permease,CDS,873
lcl|NC_002947.4_gene_4664,PP_RS23145,PP_4455,,ABC transporter permease,CDS,942
lcl|NC_002947.4_gene_4665,PP_RS23150,PP_4456,,NAD(P)/FAD-dependent oxidoreductase,CDS,1395
lcl|NC_002947.4_gene_4666,PP_RS23155,PP_5688,,(2Fe-2S)-binding protein,CDS,309
lcl|NC_002947.4_gene_4667,PP_RS23160,PP_4457,,FAD-binding oxidoreductase,CDS,1128
lcl|NC_002947.4_gene_4668,PP_RS23165,PP_4458,,ABC transporter substrate-binding protein,CDS,1581
lcl|NC_002947.4_gene_4669,PP_RS23170,PP_4459,,IS630 family transposase,CDS,1098
lcl|NC_002947.4_gene_4670,PP_RS23175,PP_4460,,LysR substrate-binding domain-containing protein,CDS,927
lcl|NC_002947.4_gene_4671,PP_RS23180,PP_4461,,MFS transporter,CDS,1293
lcl|NC_002947.4_gene_4672,PP_RS23185,PP_4462,,RraA family protein,CDS,666
lcl|NC_002947.4_gene_4673,PP_RS23190,PP_4463,,carbon-nitrogen hydrolase family protein,CDS,876
lcl|NC_002947.4_gene_4674,PP_RS23195,PP_4464,,LysR family transcriptional regulator,CDS,906
lcl|NC_002947.4_gene_4675,PP_RS23200,PP_4465,,OprD family porin,CDS,1344
lcl|NC_002947.4_gene_4676,PP_RS23205,PP_4466,,TauD/TfdA family dioxygenase,CDS,873
lcl|NC_002947.4_gene_4677,PP_RS23210,PP_4467,,LysR family transcriptional regulator,CDS,903
lcl|NC_002947.4_gene_4678,PP_RS28720,,,LysR family transcriptional regulator,CDS,144
lcl|NC_002947.4_gene_4679,PP_RS23215,PP_5689,,hypothetical protein,CDS,684
lcl|NC_002947.4_gene_4680,PP_RS23220,PP_5690,,hypothetical protein,CDS,384
lcl|NC_002947.4_gene_4681,PP_RS23225,PP_5691,,hypothetical protein,CDS,447
lcl|NC_002947.4_gene_4682,PP_RS23230,PP_5692,,DUF6957 family protein,CDS,393
lcl|NC_002947.4_gene_4683,PP_RS23235,PP_4468,,LuxR C-terminal-related transcriptional regulator,CDS,492
lcl|NC_002947.4_gene_4684,PP_RS23240,PP_t58,,tRNA-Arg,tRNA,72
lcl|NC_002947.4_gene_4685,PP_RS23245,PP_4469,phnN,"phosphonate metabolism protein/1,5-bisphosphokinase (PRPP-forming) PhnN",CDS,594
lcl|NC_002947.4_gene_4686,PP_RS23250,PP_5693,,hypothetical protein,CDS,270
lcl|NC_002947.4_gene_4687,PP_RS23255,PP_4470,,Arc family DNA-binding protein,CDS,327
lcl|NC_002947.4_gene_4688,PP_RS23260,PP_4471,mgtE,magnesium transporter,CDS,1443
lcl|NC_002947.4_gene_4689,PP_RS23265,PP_t56,,tRNA-Arg,tRNA,77
lcl|NC_002947.4_gene_4690,PP_RS23270,PP_t55,,tRNA-Arg,tRNA,77
lcl|NC_002947.4_gene_4691,PP_RS23275,PP_t54,,tRNA-Arg,tRNA,77
lcl|NC_002947.4_gene_4692,PP_RS23280,PP_t53,,tRNA-Arg,tRNA,77
lcl|NC_002947.4_gene_4693,PP_RS23285,PP_t52,,tRNA-Ser,tRNA,91
lcl|NC_002947.4_gene_4694,PP_RS23290,PP_4472,csrA,carbon storage regulator CsrA,CDS,189
lcl|NC_002947.4_gene_4695,PP_RS23295,PP_4473,,aspartate kinase,CDS,1236
lcl|NC_002947.4_gene_4696,PP_RS23300,PP_4474,alaS,alanine--tRNA ligase,CDS,2625
lcl|NC_002947.4_gene_4697,PP_RS23305,PP_4475,astE,succinylglutamate desuccinylase,CDS,1008
lcl|NC_002947.4_gene_4698,PP_RS23310,PP_4476,,topoisomerase II,CDS,291
lcl|NC_002947.4_gene_4699,PP_RS23315,PP_4477,astB,N-succinylarginine dihydrolase,CDS,1350
lcl|NC_002947.4_gene_4700,PP_RS23320,PP_4478,astD,succinylglutamate-semialdehyde dehydrogenase,CDS,1464
lcl|NC_002947.4_gene_4701,PP_RS23325,PP_4479,astA,arginine N-succinyltransferase,CDS,1029
lcl|NC_002947.4_gene_4702,PP_RS23330,PP_4480,aruF,arginine/ornithine succinyltransferase subunit alpha,CDS,1020
lcl|NC_002947.4_gene_4703,PP_RS23335,PP_4481,,aspartate aminotransferase family protein,CDS,1221
lcl|NC_002947.4_gene_4704,PP_RS23340,PP_4482,argR,transcriptional regulator ArgR,CDS,981
lcl|NC_002947.4_gene_4705,PP_RS23345,PP_4483,,ABC transporter ATP-binding protein,CDS,765
lcl|NC_002947.4_gene_4706,PP_RS23350,PP_4484,,ABC transporter permease,CDS,699
lcl|NC_002947.4_gene_4707,PP_RS23355,PP_4485,,ABC transporter permease,CDS,690
lcl|NC_002947.4_gene_4708,PP_RS23360,PP_4486,,ABC transporter substrate-binding protein,CDS,786
lcl|NC_002947.4_gene_4709,PP_RS23365,PP_4487,acs,acetate--CoA ligase,CDS,1962
lcl|NC_002947.4_gene_4710,PP_RS23370,PP_4488,,DUF2790 domain-containing protein,CDS,255
lcl|NC_002947.4_gene_4711,PP_RS23375,PP_4489,,sigma-54-dependent phenylalanine hydroxylase transcriptional regulator PhhR,CDS,1560
lcl|NC_002947.4_gene_4712,PP_RS23380,PP_4490,phhA,phenylalanine 4-monooxygenase,CDS,789
lcl|NC_002947.4_gene_4713,PP_RS23385,PP_4491,,4a-hydroxytetrahydrobiopterin dehydratase,CDS,357
lcl|NC_002947.4_gene_4714,PP_RS28815,PP_5694,,hypothetical protein,CDS,129
lcl|NC_002947.4_gene_4715,PP_RS23390,PP_4492,,MFS transporter,CDS,1203
lcl|NC_002947.4_gene_4716,PP_RS23395,PP_4493,,FAD-binding and (Fe-S)-binding domain-containing protein,CDS,3021
