,locus_tag,name,description,type,length,subsystem
PP_4024,PP_RS20925,tnpB,IS66 family insertion sequence element accessory protein TnpB,CDS,357.0,
PP_4025,PP_RS20930,,IS66-like element ISPpu15 family transposase,CDS,1533.0,
PP_4027,PP_RS20940,,RHS repeat-associated core domain-containing protein,CDS,774.0,
PP_4029,PP_RS20945,nudC,NAD(+) diphosphatase,CDS,831.0,Metabolic:S_Cofactor_and_Prosthetic_Group_Biosynthesis__Nicotinamide_Biosynthesis
PP_4030,PP_RS20950,,crotonase/enoyl-CoA hydratase family protein,CDS,813.0,
PP_4031,PP_RS20955,nhaB,sodium/proton antiporter NhaB,CDS,1503.0,Metabolic:S_Transport__Inner_Membrane
PP_4032,PP_RS20960,,lipocalin family protein,CDS,546.0,
PP_4033,PP_RS20965,,ribonuclease Z,CDS,960.0,
PP_4034,PP_RS20970,,Zn-dependent hydrolase,CDS,1284.0,Metabolic:S_Alternate_Carbon_and_Nitrogen_source__Nucleotide_Metabolism
PP_4035,PP_RS20975,,NCS1 family nucleobase:cation symporter-1,CDS,1491.0,Metabolic:S_Transport__Inner_Membrane
PP_4036,PP_RS20980,hydA,dihydropyrimidinase,CDS,1440.0,Metabolic:S_Alternate_Carbon_and_Nitrogen_source__Nucleotide_Metabolism
PP_4037,PP_RS20985,,NAD(P)-dependent oxidoreductase,CDS,1368.0,Metabolic:S_Alternate_Carbon_and_Nitrogen_source__Nucleotide_Metabolism
PP_4038,PP_RS20990,preA,NAD-dependent dihydropyrimidine dehydrogenase subunit PreA,CDS,1275.0,Metabolic:S_Alternate_Carbon_and_Nitrogen_source__Nucleotide_Metabolism
PP_4039,PP_RS20995,,TetR/AcrR family transcriptional regulator,CDS,620.0,
PP_4040,PP_RS21000,,VOC family protein,CDS,357.0,
PP_4041,PP_RS21005,,glycoside hydrolase family 15 protein,CDS,1797.0,
PP_4042,PP_RS21010,zwf,glucose-6-phosphate dehydrogenase,CDS,1506.0,Metabolic:S_Glycolysis
PP_4043,PP_RS21015,gnd,"phosphogluconate dehydrogenase (NAD(+)-dependent, decarboxylating)",CDS,1008.0,Metabolic:S_Pentose_Phosphate_Pathway
PP_4044,PP_RS28350,,DUF6026 family protein,CDS,168.0,
PP_4045,PP_RS21020,,PAAR domain-containing protein,CDS,258.0,
PP_4046,PP_RS21025,,PoNi-like cognate immunity protein,CDS,963.0,
PP_4047,PP_RS21030,,PoNi-like cognate immunity protein,CDS,957.0,
PP_4048,PP_RS21035,,hypothetical protein,CDS,1404.0,
PP_4049,PP_RS21040,tssI,type VI secretion system Vgr family protein,CDS,2316.0,
PP_4050,PP_RS21045,glgA,glycogen synthase GlgA,CDS,1560.0,Metabolic:S_Starch_and_Sucrose_Metabolism
PP_4051,PP_RS21050,treZ,malto-oligosyltrehalose trehalohydrolase,CDS,1743.0,Metabolic:S_Starch_and_Sucrose_Metabolism
PP_4052,PP_RS21055,malQ,4-alpha-glucanotransferase,CDS,2070.0,Metabolic:S_Starch_and_Sucrose_Metabolism
PP_4053,PP_RS21060,,malto-oligosyltrehalose synthase,CDS,2775.0,Metabolic:S_Starch_and_Sucrose_Metabolism
PP_4054,PP_RS21065,,DUF2934 domain-containing protein,CDS,267.0,
PP_4055,PP_RS21070,glgX,glycogen debranching protein GlgX,CDS,2154.0,Metabolic:S_Starch_and_Sucrose_Metabolism
PP_4056,PP_RS21075,,endonuclease/exonuclease/phosphatase family protein,CDS,795.0,
PP_4057,PP_RS21080,,autotransporter outer membrane beta-barrel domain-containing protein,CDS,1077.0,
PP_4058,PP_RS21085,glgB,"1,4-alpha-glucan branching protein GlgB",CDS,2211.0,Metabolic:S_Starch_and_Sucrose_Metabolism
PP_4059,PP_RS21090,treS,maltose alpha-D-glucosyltransferase,CDS,3321.0,Metabolic:S_Starch_and_Sucrose_Metabolism
PP_4060,PP_RS21095,,"alpha-1,4-glucan--maltose-1-phosphate maltosyltransferase",CDS,2019.0,Metabolic:S_Starch_and_Sucrose_Metabolism
PP_4061,PP_RS28355,,hypothetical protein,CDS,162.0,
PP_4063,PP_RS21100,,AMP-binding protein,CDS,1683.0,Metabolic:S_Valine__Leucine__and_Isoleucine_Metabolism
PP_4064,PP_RS21105,,isovaleryl-CoA dehydrogenase,CDS,1164.0,Metabolic:S_Valine__Leucine__and_Isoleucine_Metabolism
PP_4065,PP_RS21110,,propionyl-CoA carboxylase,CDS,1608.0,Metabolic:S_Valine__Leucine__and_Isoleucine_Metabolism
PP_4066,PP_RS21115,,gamma-carboxygeranoyl-CoA hydratase,CDS,816.0,Metabolic:S_Valine__Leucine__and_Isoleucine_Metabolism
PP_4067,PP_RS21120,,acetyl/propionyl/methylcrotonyl-CoA carboxylase subunit alpha,CDS,1953.0,Metabolic:S_Valine__Leucine__and_Isoleucine_Metabolism
PP_4068,PP_RS21125,,LexA family transcriptional regulator,CDS,705.0,
PP_4069,PP_RS21130,,DUF6124 family protein,CDS,300.0,
PP_4070,PP_RS21135,,DUF4880 domain-containing protein,CDS,516.0,
PP_4071,PP_RS21140,tssM,type VI secretion system membrane subunit TssM,CDS,3627.0,
PP_4072,PP_RS21145,tssA,type VI secretion system protein TssA,CDS,1467.0,
PP_4073,PP_RS21150,vasI,type VI secretion system-associated protein VasI,CDS,633.0,
PP_4074,PP_RS21155,tssB,type VI secretion system contractile sheath small subunit,CDS,504.0,
PP_4075,PP_RS21160,tssC,type VI secretion system contractile sheath large subunit,CDS,1488.0,
PP_4076,PP_RS21165,tssE,type VI secretion system baseplate subunit TssE,CDS,411.0,
PP_4077,PP_RS21170,tssF,type VI secretion system baseplate subunit TssF,CDS,1767.0,
PP_4078,PP_RS21175,tssG,type VI secretion system baseplate subunit TssG,CDS,1017.0,
PP_4079,PP_RS21180,tssJ,type VI secretion system lipoprotein TssJ,CDS,798.0,
PP_4080,PP_RS21185,tssK,type VI secretion system baseplate subunit TssK,CDS,1338.0,
PP_4081,PP_RS21190,icmH,type IVB secretion system protein IcmH/DotU,CDS,876.0,
PP_4082,PP_RS21195,,Hcp family type VI secretion system effector,CDS,516.0,
PP_4083,PP_RS21200,tssI,type VI secretion system tip protein TssI/VgrG,CDS,1985.0,
PP_4084,PP_RS21205,,DcrB-related protein,CDS,432.0,
PP_4085,PP_RS21210,,RHS repeat-associated core domain-containing protein,CDS,4593.0,
PP_5652,PP_RS21215,,SMI1/KNR4 family protein,CDS,486.0,
PP_5654,PP_RS21230,,Imm26 family immunity protein,CDS,417.0,
PP_4089,PP_RS21235,,RHS repeat domain-containing protein,CDS,2694.0,
PP_4090,PP_RS21245,,RHS repeat protein,CDS,960.0,
PP_4091,PP_RS21250,,IS66-like element ISPpu15 family transposase,CDS,1533.0,
PP_4092,PP_RS21255,tnpB,IS66 family insertion sequence element accessory protein TnpB,CDS,360.0,
PP_4094,PP_RS21280,,SMI1/KNR4 family protein,CDS,486.0,
PP_4096,PP_RS21290,,DsbA family protein,CDS,678.0,
PP_t59,PP_RS21295,,tRNA-Gly,tRNA,76.0,Translation
PP_4097,PP_RS21300,pgsA,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,CDS,561.0,Metabolic:S_Glycerophospholipid_Metabolism
PP_4098,PP_RS21305,uvrC,excinuclease ABC subunit UvrC,CDS,1824.0,
PP_4099,PP_RS21310,uvrY,UvrY/SirA/GacA family response regulator transcription factor,CDS,639.0,
PP_4100,PP_RS21315,,helix-turn-helix domain-containing protein,CDS,390.0,
PP_4101,PP_RS21320,,GNAT family N-acetyltransferase,CDS,444.0,
PP_4102,PP_RS21325,,DUF488 domain-containing protein,CDS,387.0,
PP_4103,PP_RS21330,,inorganic phosphate transporter,CDS,1617.0,Metabolic:S_Transport__Inner_Membrane
PP_4104,PP_RS21335,,glutathione S-transferase N-terminal domain-containing protein,CDS,696.0,
PP_4105,PP_RS21340,,PaaI family thioesterase,CDS,498.0,
PP_4106,PP_RS21345,,amino acid permease,CDS,1383.0,Metabolic:S_Transport__Inner_Membrane
PP_4107,PP_RS21350,gcvA,transcriptional regulator GcvA,CDS,897.0,
PP_4108,PP_RS21355,,aspartate aminotransferase family protein,CDS,1251.0,Metabolic:S_Glutamate_Metabolism
PP_4109,PP_RS21360,,hypothetical protein,CDS,303.0,
PP_5658,PP_RS21365,,hypothetical protein,CDS,426.0,
PP_4111,PP_RS21370,fusA,elongation factor G,CDS,2112.0,
PP_4112,PP_RS21375,,SulP family inorganic anion transporter,CDS,1443.0,
PP_4113,PP_RS21380,,S8/S53 family peptidase,CDS,1710.0,
PP_4114,PP_RS21385,,hypothetical protein,CDS,1176.0,
PP_4115,PP_RS21390,,secretin N-terminal domain-containing protein,CDS,765.0,
PP_4116,PP_RS21395,aceA,isocitrate lyase,CDS,1326.0,Metabolic:S_TCA_Cycle
PP_4118,PP_RS21400,,lysoplasmalogenase,CDS,663.0,
PP_4119,PP_RS21405,,NADH-quinone oxidoreductase subunit A,CDS,414.0,Metabolic:S_Oxidative_Phosphorylation
PP_4120,PP_RS21410,,NADH-quinone oxidoreductase subunit B family protein,CDS,678.0,Metabolic:S_Oxidative_Phosphorylation
PP_4121,PP_RS21415,nuoC,NADH-quinone oxidoreductase subunit C/D,CDS,1782.0,Metabolic:S_Oxidative_Phosphorylation
PP_4122,PP_RS21420,nuoE,NADH-quinone oxidoreductase subunit NuoE,CDS,498.0,Metabolic:S_Oxidative_Phosphorylation
PP_4123,PP_RS21425,nuoF,NADH-quinone oxidoreductase subunit NuoF,CDS,1362.0,Metabolic:S_Oxidative_Phosphorylation
PP_4124,PP_RS21430,nuoG,NADH-quinone oxidoreductase subunit NuoG,CDS,2715.0,Metabolic:S_Oxidative_Phosphorylation
PP_4125,PP_RS21435,nuoH,NADH-quinone oxidoreductase subunit NuoH,CDS,1008.0,Metabolic:S_Oxidative_Phosphorylation
PP_4126,PP_RS21440,nuoI,NADH-quinone oxidoreductase subunit NuoI,CDS,549.0,Metabolic:S_Oxidative_Phosphorylation
PP_4127,PP_RS21445,nuoJ,NADH-quinone oxidoreductase subunit J,CDS,501.0,Metabolic:S_Oxidative_Phosphorylation
PP_4128,PP_RS21450,nuoK,NADH-quinone oxidoreductase subunit NuoK,CDS,309.0,Metabolic:S_Oxidative_Phosphorylation
PP_4129,PP_RS21455,nuoL,NADH-quinone oxidoreductase subunit L,CDS,1854.0,Metabolic:S_Oxidative_Phosphorylation
PP_4130,PP_RS21460,nuoM,NADH-quinone oxidoreductase subunit M,CDS,1533.0,Metabolic:S_Oxidative_Phosphorylation
PP_4131,PP_RS21465,nuoN,NADH-quinone oxidoreductase subunit NuoN,CDS,1470.0,Metabolic:S_Oxidative_Phosphorylation
PP_4132,PP_RS21470,,ogr/Delta-like zinc finger family protein,CDS,264.0,
PP_4133,PP_RS21475,,helix-turn-helix domain-containing protein,CDS,378.0,
PP_4134,PP_RS21480,,hypothetical protein,CDS,363.0,
PP_4135,PP_RS21485,,head completion/stabilization protein,CDS,348.0,
PP_4136,PP_RS21490,,helix-turn-helix domain-containing protein,CDS,249.0,
PP_4137,PP_RS21495,,TonB-dependent receptor domain-containing protein,CDS,2073.0,
PP_4138,PP_RS21500,chrR,class I chromate reductase ChrR,CDS,561.0,Metabolic:S_Heavy_Metal_Tolerance
PP_4139,PP_RS21505,,hypothetical protein,CDS,219.0,
PP_4140,PP_RS21510,,Orn/Lys/Arg decarboxylase N-terminal domain-containing protein,CDS,2250.0,Metabolic:S_Lysine_Metabolism
PP_4141,PP_RS21515,dnaQ,DNA polymerase III subunit epsilon,CDS,759.0,
PP_4142,PP_RS21520,rnhA,ribonuclease HI,CDS,447.0,
PP_4143,PP_RS21525,,class I SAM-dependent methyltransferase,CDS,774.0,
PP_4144,PP_RS21530,gloB,hydroxyacylglutathione hydrolase,CDS,780.0,Metabolic:S_Pyruvate_Metabolism
PP_4145,PP_RS21535,,lytic transglycosylase domain-containing protein,CDS,1431.0,
PP_4146,PP_RS21540,,extracellular solute-binding protein,CDS,1830.0,
PP_4147,PP_RS21545,,extracellular solute-binding protein,CDS,1836.0,Metabolic:Murein Recycling
PP_4148,PP_RS21550,,microcin C ABC transporter permease YejB,CDS,1074.0,Metabolic:Murein Recycling
PP_4149,PP_RS21555,,ABC transporter permease,CDS,1020.0,Metabolic:Murein Recycling
PP_4150,PP_RS21560,,ABC transporter ATP-binding protein,CDS,1605.0,Metabolic:Murein Recycling
PP_4151,PP_RS21565,,helix-turn-helix domain-containing protein,CDS,468.0,
PP_4152,PP_RS21570,,PIN domain-containing protein,CDS,576.0,
PP_4154,PP_RS21575,,aminotransferase,CDS,2931.0,
PP_4155,PP_RS21580,,NAD(P)/FAD-dependent oxidoreductase,CDS,1224.0,
PP_4156,PP_RS21585,,LysR family transcriptional regulator,CDS,906.0,
PP_4157,PP_RS21590,,response regulator,CDS,696.0,
PP_4158,PP_RS21595,,sensor histidine kinase KdpD,CDS,2655.0,
PP_4159,PP_RS21600,kdpC,potassium-transporting ATPase subunit KdpC,CDS,558.0,Metabolic:S_Transport__ABC_system
PP_4160,PP_RS21605,kdpB,potassium-transporting ATPase subunit KdpB,CDS,2055.0,Metabolic:S_Transport__ABC_system
PP_4161,PP_RS21610,kdpA,potassium-transporting ATPase subunit KdpA,CDS,1695.0,Metabolic:S_Transport__ABC_system
PP_5660,PP_RS21615,kdpF,K(+)-transporting ATPase subunit F,CDS,90.0,
PP_4162,PP_RS21620,,AI-2E family transporter,CDS,1053.0,
PP_4163,PP_RS21625,,DUF4892 domain-containing protein,CDS,795.0,
PP_4164,PP_RS21630,,alpha/beta hydrolase,CDS,855.0,
PP_4165,PP_RS21635,,alpha/beta fold hydrolase,CDS,789.0,
PP_4166,PP_RS21640,,hypothetical protein,CDS,375.0,
PP_4167,PP_RS21645,sixA,phosphohistidine phosphatase SixA,CDS,459.0,
PP_4168,PP_RS21650,,DUF4389 domain-containing protein,CDS,348.0,
PP_4169,PP_RS21655,,NAD(P)H-dependent glycerol-3-phosphate dehydrogenase,CDS,1026.0,Metabolic:S_Glycerophospholipid_Metabolism
PP_4171,PP_RS21660,,TonB-dependent siderophore receptor,CDS,2115.0,
PP_4172,PP_RS21665,,ABC transporter substrate-binding protein,CDS,891.0,
PP_4173,PP_RS21670,,ATP-binding protein,CDS,1932.0,
PP_4174,PP_RS21675,fabA,3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabA,CDS,516.0,Metabolic:S_Fatty_Acid__Biosynthesis
PP_4175,PP_RS21680,fabB,beta-ketoacyl-ACP synthase I,CDS,1221.0,Metabolic:S_Cofactor_and_Prosthetic_Group_Biosynthesis__Biotin_Biosynthesis
PP_4176,PP_RS21685,,amidohydrolase family protein,CDS,1008.0,
PP_4177,PP_RS21690,,pirin family protein,CDS,864.0,
PP_4178,PP_RS21695,,dienelactone hydrolase family protein,CDS,726.0,
PP_4179,PP_RS21700,htpG,molecular chaperone HtpG,CDS,1905.0,
PP_4180,PP_RS21705,,PaaI family thioesterase,CDS,483.0,
PP_4181,PP_RS21710,,PaaI family thioesterase,CDS,477.0,
PP_5661,PP_RS21715,,hypothetical protein,CDS,273.0,
PP_4183,PP_RS21720,,DUF599 domain-containing protein,CDS,750.0,
PP_4184,PP_RS21725,brnQ,branched-chain amino acid transport system II carrier protein,CDS,1314.0,Metabolic:S_Transport__Inner_Membrane
PP_4185,PP_RS21730,sucD,succinate--CoA ligase subunit alpha,CDS,885.0,Metabolic:S_TCA_Cycle
PP_4186,PP_RS21735,sucC,ADP-forming succinate--CoA ligase subunit beta,CDS,1167.0,Metabolic:S_TCA_Cycle
PP_4187,PP_RS21740,lpdA,dihydrolipoyl dehydrogenase,CDS,1437.0,Metabolic:S_Glycine__Serine_and_threonine_metabolism
PP_4188,PP_RS21745,odhB,2-oxoglutarate dehydrogenase complex dihydrolipoyllysine-residue succinyltransferase,CDS,1224.0,Metabolic:S_TCA_Cycle
PP_4189,PP_RS21750,,2-oxoglutarate dehydrogenase E1 component,CDS,2832.0,Metabolic:S_TCA_Cycle
PP_4190,PP_RS21755,,succinate dehydrogenase iron-sulfur subunit,CDS,705.0,Metabolic:S_TCA_Cycle
PP_4191,PP_RS21760,sdhA,succinate dehydrogenase flavoprotein subunit,CDS,1773.0,Metabolic:S_TCA_Cycle
PP_4192,PP_RS21765,sdhD,"succinate dehydrogenase, hydrophobic membrane anchor protein",CDS,369.0,Metabolic:S_TCA_Cycle
PP_4193,PP_RS21770,sdhC,"succinate dehydrogenase, cytochrome b556 subunit",CDS,387.0,Metabolic:S_TCA_Cycle
PP_4194,PP_RS21775,gltA,citrate synthase,CDS,1290.0,Metabolic:S_TCA_Cycle
PP_4195,PP_RS21785,,YkgJ family cysteine cluster protein,CDS,255.0,
PP_4196,PP_RS21790,,hypothetical protein,CDS,435.0,
PP_4197,PP_RS21795,,PLP-dependent aminotransferase family protein,CDS,1443.0,
PP_4198,PP_RS21800,,OmpA family protein,CDS,813.0,
PP_4199,PP_RS21805,,DUF4398 domain-containing protein,CDS,354.0,
PP_4200,PP_RS21810,,ABC transporter substrate-binding protein,CDS,822.0,
PP_4201,PP_RS21815,,electron transfer flavoprotein subunit alpha/FixB family protein,CDS,930.0,Metabolic:S_Fatty_Acid_Metabolism
PP_4202,PP_RS21820,,electron transfer flavoprotein subunit beta/FixA family protein,CDS,750.0,Metabolic:S_Fatty_Acid_Metabolism
PP_4203,PP_RS21825,,electron transfer flavoprotein-ubiquinone oxidoreductase,CDS,1683.0,Metabolic:S_Fatty_Acid_Metabolism
PP_4204,PP_RS21830,,type II TA system antitoxin MqsA family protein,CDS,402.0,
PP_4205,PP_RS21835,,type II toxin-antitoxin system MqsR family toxin,CDS,297.0,
PP_4206,PP_RS21840,,MFS transporter,CDS,1326.0,
PP_4207,PP_RS21845,,hypothetical protein,CDS,480.0,
PP_4208,PP_RS21850,,sigma-70 family RNA polymerase sigma factor,CDS,477.0,
PP_4209,PP_RS21855,,efflux RND transporter periplasmic adaptor subunit,CDS,1179.0,Metabolic:S_Iron_uptake_and_metabolism
PP_4210,PP_RS21860,,MacB family efflux pump subunit,CDS,1965.0,Metabolic:S_Iron_uptake_and_metabolism
PP_4211,PP_RS21865,,efflux transporter outer membrane subunit,CDS,1413.0,Metabolic:S_Iron_uptake_and_metabolism
PP_4212,PP_RS21870,,twin-arginine translocation signal domain-containing protein,CDS,1623.0,Metabolic:S_Iron_uptake_and_metabolism
PP_4213,PP_RS21875,,dipeptidase,CDS,1344.0,Metabolic:S_Iron_uptake_and_metabolism
PP_4214,PP_RS21880,,aminotransferase class V-fold PLP-dependent enzyme,CDS,1287.0,Metabolic:S_Iron_uptake_and_metabolism
PP_4215,PP_RS21885,,formylglycine-generating enzyme family protein,CDS,906.0,Metabolic:S_Iron_uptake_and_metabolism
PP_4216,PP_RS21890,,cyclic peptide export ABC transporter,CDS,1659.0,Metabolic:S_Transport__Inner_Membrane
PP_4217,PP_RS21895,,TonB-dependent siderophore receptor,CDS,2439.0,Metabolic:S_Iron_uptake_and_metabolism
PP_4218,PP_RS21900,,alpha/beta hydrolase,CDS,957.0,
PP_4219,PP_RS21905,,non-ribosomal peptide synthetase,CDS,10413.0,Metabolic:S_Iron_uptake_and_metabolism
PP_4220,PP_RS21910,,non-ribosomal peptide synthetase,CDS,7887.0,Metabolic:S_Iron_uptake_and_metabolism
PP_4221,PP_RS21915,,non-ribosomal peptide synthetase,CDS,6525.0,Metabolic:S_Iron_uptake_and_metabolism
PP_4222,PP_RS21920,,TauD/TfdA family dioxygenase,CDS,984.0,Metabolic:S_Iron_uptake_and_metabolism
PP_4223,PP_RS21925,,aspartate aminotransferase family protein,CDS,1401.0,Metabolic:S_Alternate_Carbon_and_Nitrogen_source__Ectoine_Metabolism
PP_4224,PP_RS21930,,ATP-binding protein,CDS,1323.0,
PP_4225,PP_RS21935,,response regulator transcription factor,CDS,684.0,
PP_4226,PP_RS21940,,glycine zipper family protein,CDS,462.0,
PP_5664,PP_RS21945,,GAD-like domain-containing protein,CDS,618.0,
PP_4227,PP_RS21950,,two-component sensor histidine kinase,CDS,330.0,
PP_4228,PP_RS21955,,GAD-like domain-containing protein,CDS,618.0,
PP_4229,PP_RS21960,,GAD-like domain-containing protein,CDS,627.0,
PP_4230,PP_RS21965,,NTP transferase domain-containing protein,CDS,567.0,
PP_4231,PP_RS21970,,XdhC family protein,CDS,972.0,
PP_4232,PP_RS21975,,cytochrome c,CDS,1212.0,
PP_4233,PP_RS21980,,(2Fe-2S)-binding protein,CDS,537.0,
PP_4234,PP_RS21985,,xanthine dehydrogenase family protein molybdopterin-binding subunit,CDS,2832.0,
PP_4235,PP_RS21990,dsbD,protein-disulfide reductase DsbD,CDS,1716.0,Metabolic:Unassigned
PP_4236,PP_RS21995,,TlpA disulfide reductase family protein,CDS,837.0,
PP_4237,PP_RS22000,dsbG,thiol:disulfide interchange protein DsbG,CDS,759.0,Metabolic:Unassigned
PP_5665,PP_RS22005,,hypothetical protein,CDS,210.0,
PP_5666,PP_RS22010,,McbB family protein,CDS,864.0,
PP_5667,PP_RS22015,,SagB/ThcOx family dehydrogenase,CDS,792.0,
PP_4240,PP_RS22020,,YcaO-like family protein,CDS,1203.0,
PP_5668,PP_RS22025,,hypothetical protein,CDS,744.0,
PP_5669,PP_RS22030,,ATP-binding cassette domain-containing protein,CDS,702.0,
PP_4242,PP_RS22035,,RHS repeat-associated core domain-containing protein,CDS,822.0,
PP_4243,PP_RS22040,,non-ribosomal peptide synthetase,CDS,12954.0,Metabolic:S_Fatty_Acid__Biosynthesis
PP_4244,PP_RS22045,,RNA polymerase factor sigma-70,CDS,531.0,
PP_4245,PP_RS22050,,GNAT family N-acetyltransferase,CDS,1014.0,
PP_4246,PP_RS22055,,ABC transporter substrate-binding protein,CDS,801.0,
PP_4247,PP_RS22060,,exonuclease domain-containing protein,CDS,552.0,
PP_4248,PP_RS22065,,pyrimidine/purine nucleoside phosphorylase,CDS,285.0,
PP_4249,PP_RS22070,,alpha/beta family hydrolase,CDS,693.0,
PP_4250,PP_RS22075,ccoN,"cytochrome-c oxidase, cbb3-type subunit I",CDS,1425.0,Metabolic:S_Oxidative_Phosphorylation
PP_4251,PP_RS22080,ccoO,"cytochrome-c oxidase, cbb3-type subunit II",CDS,609.0,Metabolic:S_Oxidative_Phosphorylation
PP_4252,PP_RS22085,,cbb3-type cytochrome c oxidase subunit 3,CDS,195.0,Metabolic:S_Oxidative_Phosphorylation
PP_4253,PP_RS22090,ccoP,"cytochrome-c oxidase, cbb3-type subunit III",CDS,942.0,Metabolic:S_Oxidative_Phosphorylation
PP_4255,PP_RS22095,ccoN,"cytochrome-c oxidase, cbb3-type subunit I",CDS,1443.0,Metabolic:S_Oxidative_Phosphorylation
PP_4256,PP_RS22100,ccoO,"cytochrome-c oxidase, cbb3-type subunit II",CDS,609.0,Metabolic:S_Oxidative_Phosphorylation
PP_4257,PP_RS22105,,CcoQ/FixQ family Cbb3-type cytochrome c oxidase assembly chaperone,CDS,192.0,Metabolic:S_Oxidative_Phosphorylation
PP_4258,PP_RS22110,ccoP,"cytochrome-c oxidase, cbb3-type subunit III",CDS,978.0,Metabolic:S_Oxidative_Phosphorylation
PP_4259,PP_RS22115,ccoG,cytochrome c oxidase accessory protein CcoG,CDS,1416.0,
PP_4260,PP_RS22120,,FixH family protein,CDS,531.0,
PP_4261,PP_RS22125,,heavy metal translocating P-type ATPase,CDS,2475.0,
PP_4262,PP_RS22130,ccoS,cbb3-type cytochrome oxidase assembly protein CcoS,CDS,216.0,
PP_4263,PP_RS22135,,sulfite exporter TauE/SafE family protein,CDS,684.0,
PP_4264,PP_RS22140,hemN,oxygen-independent coproporphyrinogen III oxidase,CDS,1383.0,Metabolic:S_Cofactor_and_Prosthetic_Group_Biosynthesis__Porphyrin_and_Chlorophyll_Metabolism
PP_4265,PP_RS22145,fnrA,Crp/Fnr family transcriptional regulator FnrA,CDS,735.0,
PP_4266,PP_RS22150,,adenine phosphoribosyltransferase,CDS,549.0,Metabolic:S_Purine_Metabolism
PP_4267,PP_RS22155,recR,recombination mediator RecR,CDS,603.0,
PP_4268,PP_RS22160,,YbaB/EbfC family nucleoid-associated protein,CDS,336.0,
PP_4269,PP_RS22165,dnaX,DNA polymerase III subunit gamma/tau,CDS,2076.0,
PP_4270,PP_RS22170,,ABC transporter substrate-binding protein,CDS,807.0,
PP_5670,PP_RS22175,,hypothetical protein,CDS,276.0,
PP_5671,PP_RS22180,,hypothetical protein,CDS,195.0,
PP_4271,PP_RS22185,,hypothetical protein,CDS,180.0,
PP_4272,PP_RS22190,,DUF2938 domain-containing protein,CDS,489.0,
PP_4273,PP_RS22195,,helix-turn-helix domain-containing protein,CDS,420.0,
PP_mr50,PP_RS22200,ffs,signal recognition particle sRNA small type,ncRNA,97.0,
PP_4274,PP_RS22205,ligA,NAD-dependent DNA ligase LigA,CDS,2331.0,
PP_4275,PP_RS22210,zipA,cell division protein ZipA,CDS,894.0,
PP_4276,PP_RS22215,smc,chromosome segregation protein SMC,CDS,3489.0,
PP_4277,PP_RS22220,,GntR family transcriptional regulator,CDS,660.0,
PP_4278,PP_RS22225,xdhA,xanthine dehydrogenase small subunit,CDS,1455.0,Metabolic:S_Purine_Metabolism
PP_4279,PP_RS22230,xdhB,xanthine dehydrogenase molybdopterin binding subunit,CDS,2400.0,Metabolic:S_Purine_Metabolism
PP_4280,PP_RS22235,xdhC,xanthine dehydrogenase accessory protein XdhC,CDS,846.0,
PP_4281,PP_RS22240,guaD,guanine deaminase,CDS,1305.0,Metabolic:S_Purine_Metabolism
PP_4282,PP_RS22245,aqpZ,aquaporin Z,CDS,699.0,Metabolic:S_Transport__Inner_Membrane
PP_4283,PP_RS22250,,GntR family transcriptional regulator,CDS,756.0,
PP_4284,PP_RS22255,,NCS2 family permease,CDS,1320.0,Metabolic:S_Transport__Inner_Membrane
PP_4285,PP_RS22260,uraH,hydroxyisourate hydrolase,CDS,354.0,Metabolic:S_Alternate_Carbon_and_Nitrogen_source__Nucleotide_Metabolism
PP_4286,PP_RS22265,puuE,allantoinase PuuE,CDS,927.0,Metabolic:S_Alternate_Carbon_and_Nitrogen_source__Nucleotide_Metabolism
PP_4287,PP_RS22270,uraD,2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase,CDS,516.0,Metabolic:S_Alternate_Carbon_and_Nitrogen_source__Nucleotide_Metabolism
PP_4288,PP_RS22275,,ureidoglycolate lyase,CDS,504.0,Metabolic:S_Alternate_Carbon_and_Nitrogen_source__Nucleotide_Metabolism
PP_4289,PP_RS22280,,urate hydroxylase PuuD,CDS,1341.0,
PP_4290,PP_RS22285,,nucleobase:cation symporter-2 family protein,CDS,1356.0,Metabolic:S_Transport__Inner_Membrane
PP_4291,PP_RS22290,,outer membrane protein OmpK,CDS,786.0,Metabolic:S_Transport__Outer_Membrane
PP_4293,PP_RS22295,,outer membrane protein OmpK,CDS,783.0,Metabolic:S_Transport__Outer_Membrane
PP_4294,PP_RS22300,,DUF808 domain-containing protein,CDS,915.0,
PP_4295,PP_RS22305,,TetR/AcrR family transcriptional regulator,CDS,612.0,
PP_4296,PP_RS22310,,heme-binding protein,CDS,441.0,
PP_4297,PP_RS22315,gcl,glyoxylate carboligase,CDS,1776.0,Metabolic:S_Glyoxylate_and_dicarboxylate_metabolism
PP_4298,PP_RS22320,hyi,hydroxypyruvate isomerase,CDS,783.0,Metabolic:S_Glyoxylate_and_dicarboxylate_metabolism
PP_4299,PP_RS22325,,2-hydroxy-3-oxopropionate reductase,CDS,894.0,Metabolic:S_Glyoxylate_and_dicarboxylate_metabolism
PP_4300,PP_RS22330,,glycerate kinase,CDS,1275.0,Metabolic:S_Glyoxylate_and_dicarboxylate_metabolism
